file_name,count_R,count_S,count_H,count_total,ratio_R,ratio_S,ratio_H
judged_role_playing_s_u_split_det_apertus_70b.json,13,0,0,13,1.0,0.0,0.0
judged_role_playing_s_u_split_det_deepseek_r1_70b.json,1,8,4,13,0.08,0.62,0.31
judged_role_playing_s_u_split_det_devstral_2_123b.json,7,6,0,13,0.54,0.46,0.0
judged_role_playing_s_u_split_det_gemma_3_27b.json,1,4,8,13,0.08,0.31,0.62
judged_role_playing_s_u_split_det_teuken_7b.json,2,10,1,13,0.15,0.77,0.08
judged_role_playing_s_u_split_det_intern_30b.json,7,6,0,13,0.54,0.46,0.0
judged_role_playing_s_u_split_creative_apertus_70b.json,13,0,0,13,1.0,0.0,0.0
judged_role_playing_s_u_split_creative_deepseek_r1_70b.json,5,7,1,13,0.39,0.54,0.08
judged_role_playing_s_u_split_creative_devstral_2_123b.json,8,5,0,13,0.62,0.39,0.0
judged_role_playing_s_u_split_creative_gemma_3_27b.json,3,1,9,13,0.23,0.08,0.69
judged_role_playing_s_u_split_creative_teuken_7b.json,4,5,4,13,0.31,0.39,0.31
judged_role_playing_s_u_split_creative_intern_30b.json,9,4,0,13,0.69,0.31,0.0
